coverage_ratio,inspection_success_rate,target_detection_rate,mission_success,mission_time,total_energy_consumption,fixedwing_final_battery,quadrotor_mean_final_battery,quadrotor_min_final_battery,collision_count,near_miss_count,communication_loss_count,invalid_action_count,detected_targets,inspected_targets,candidate_targets,redundant_coverage_proxy,termination_reason,fixedwing_mean_final_battery,n_fixedwings,n_quadrotors,n_targets,quadrotor_hover_inspect_count,quadrotor_valid_hover_inspect_count,quadrotor_invalid_hover_inspect_count,mean_distance_to_candidate,time_in_candidate_range,scenario,seed,baseline,evaluation_mode
0.9609375,0.9,0.9,0,1200,306.5000000000118,25.40000000000336,21.350000000001508,20.150000000001448,0,0,1046,0,9,9,28,0.53875,max_steps_reached,25.40000000000336,2,2,10,987,987,0,287.10271578822085,987,2,0,hierarchical_task_allocation,rule
0.9578993055555556,0.9,0.9,0,1200,311.6000000000156,25.40000000000336,18.80000000000146,17.90000000000147,0,3,1531,0,9,9,27,0.5402083333333333,max_steps_reached,25.40000000000336,2,2,10,931,931,0,310.41171633435044,931,2,1,hierarchical_task_allocation,rule
0.9592013888888888,0.9,0.9,0,1200,265.9000000000127,25.40000000000336,41.65000000000178,41.15000000000175,0,1,1563,0,9,9,28,0.5395833333333333,max_steps_reached,25.40000000000336,2,2,10,1408,1408,0,201.28969759128734,1408,2,2,hierarchical_task_allocation,rule
0.8116319444444444,1.0,1.0,1,521,170.2999999999977,66.05000000000193,48.500000000001776,47.30000000000175,0,0,403,0,10,10,19,0.10268714011516315,all_targets_inspected,66.35000000000191,2,2,10,37,37,0,579.3677605644797,37,2,3,hierarchical_task_allocation,rule
0.9205729166666666,1.0,1.0,1,850,229.00000000000338,46.200000000002824,39.20000000000167,38.35000000000166,0,0,852,0,10,10,26,0.3761764705882353,all_targets_inspected,46.30000000000282,2,2,10,579,579,0,376.7987574135868,579,2,4,hierarchical_task_allocation,rule
0.9626736111111112,0.9,0.9,0,1200,327.35000000001713,25.40000000000336,10.925000000001376,10.15000000000137,0,0,1697,0,9,9,27,0.5379166666666667,max_steps_reached,25.40000000000336,2,2,10,731,731,0,493.5535578602348,731,2,5,hierarchical_task_allocation,rule
0.9418402777777778,1.0,1.0,1,864,266.95000000000425,45.40000000000286,21.025000000001434,20.100000000001415,0,0,972,0,10,10,22,0.37210648148148145,all_targets_inspected,45.500000000002856,2,2,10,196,196,0,644.7340492796094,196,2,6,hierarchical_task_allocation,rule
0.9609375,0.9,0.9,0,1200,307.4500000000154,25.40000000000336,20.875000000001478,19.800000000001482,0,0,1949,0,9,9,28,0.53875,max_steps_reached,25.40000000000336,2,2,10,945,945,0,408.4422081278311,945,2,7,hierarchical_task_allocation,rule
0.8793402777777778,1.0,1.0,1,694,217.85000000000036,55.700000000002404,35.075000000001616,33.700000000001594,0,0,717,0,10,10,15,0.27017291066282423,all_targets_inspected,56.0000000000024,2,2,10,152,152,0,481.42654715893644,152,2,8,hierarchical_task_allocation,rule
0.9353298611111112,1.0,1.0,1,830,236.25000000000296,48.00000000000278,34.17500000000162,33.40000000000158,0,0,1101,0,10,10,18,0.3509036144578313,all_targets_inspected,47.70000000000277,2,2,10,396,396,0,439.3657417235775,396,2,9,hierarchical_task_allocation,rule
0.9578993055555556,0.8,0.8,0,1200,296.4000000000106,25.40000000000336,26.400000000001427,25.35000000000143,0,0,1471,0,8,8,26,0.5402083333333333,max_steps_reached,25.40000000000336,2,2,10,1073,1073,0,355.04810507554873,1073,2,10,hierarchical_task_allocation,rule
0.9600694444444444,1.0,1.0,1,1172,293.1000000000143,26.80000000000338,26.350000000001398,25.950000000001552,0,0,1155,0,10,10,17,0.5281569965870307,all_targets_inspected,27.100000000003384,2,2,10,1021,1021,0,311.96457727649533,1021,2,11,hierarchical_task_allocation,rule
0.9609375,0.9,0.9,0,1200,333.7000000000201,25.40000000000336,7.750000000001435,1.0500000000014533,0,0,1202,0,9,9,23,0.53875,max_steps_reached,25.40000000000336,2,2,10,680,680,0,472.6084234584793,680,2,12,hierarchical_task_allocation,rule
0.9279513888888888,1.0,1.0,1,846,247.50000000000304,46.40000000000281,29.75000000000155,26.450000000001552,0,0,825,0,10,10,29,0.3682033096926714,all_targets_inspected,46.50000000000281,2,2,10,362,362,0,472.466632503018,362,2,13,hierarchical_task_allocation,rule
0.9383680555555556,1.0,1.0,1,979,249.20000000000638,38.85000000000318,36.50000000000164,36.250000000001606,0,9,881,0,10,10,26,0.44790602655771194,all_targets_inspected,38.900000000003175,2,2,10,818,818,0,270.9621940949639,818,2,14,hierarchical_task_allocation,rule
0.9578993055555556,0.7,0.7,0,1200,266.60000000001105,25.40000000000336,41.30000000000169,36.60000000000168,0,0,2024,0,7,7,21,0.5402083333333333,max_steps_reached,25.40000000000336,2,2,10,1366,1366,0,264.5021453296205,1366,2,15,hierarchical_task_allocation,rule
0.9388020833333334,1.0,1.0,1,904,264.30000000000496,43.300000000002974,24.65000000000148,24.350000000001494,0,0,1002,0,10,10,24,0.40182522123893805,all_targets_inspected,43.200000000002966,2,2,10,369,369,0,550.4046383668723,369,2,16,hierarchical_task_allocation,rule
0.8693576388888888,1.0,1.0,1,598,191.49999999999898,61.20000000000214,42.5500000000017,42.10000000000171,0,0,546,0,10,10,18,0.16262541806020067,all_targets_inspected,61.70000000000214,2,2,10,77,77,0,589.2169514549286,77,2,17,hierarchical_task_allocation,rule
0.9249131944444444,1.0,1.0,1,826,250.50000000000202,48.20000000000277,26.80000000000151,26.500000000001535,0,0,718,0,10,10,22,0.35502421307506055,all_targets_inspected,47.95000000000276,2,2,10,243,243,0,588.6850925315758,243,2,18,hierarchical_task_allocation,rule
0.9600694444444444,0.9,0.9,0,1200,278.60000000001287,25.40000000000336,35.30000000000177,32.800000000001745,0,0,1754,0,9,9,28,0.5391666666666667,max_steps_reached,25.40000000000336,2,2,10,1341,1341,0,217.4559252312468,1341,2,19,hierarchical_task_allocation,rule
