coverage_ratio,inspection_success_rate,target_detection_rate,mission_success,mission_time,total_energy_consumption,fixedwing_final_battery,quadrotor_mean_final_battery,quadrotor_min_final_battery,collision_count,near_miss_count,communication_loss_count,invalid_action_count,detected_targets,inspected_targets,candidate_targets,redundant_coverage_proxy,termination_reason,quadrotor_hover_inspect_count,quadrotor_valid_hover_inspect_count,quadrotor_invalid_hover_inspect_count,mean_distance_to_candidate,time_in_candidate_range,scenario,seed,baseline,evaluation_mode
0.883125,1.0,1.0,1,646,124.44999999999706,67.70000000000184,53.92500000000173,53.60000000000172,0,0,529,0,8,8,14,0.2708978328173375,all_targets_inspected,438,438,0,289.5970829082865,438,1,0,hierarchical_task_allocation,rule
0.91375,1.0,1.0,1,682,129.04999999999643,65.90000000000194,52.525000000001675,52.25000000000169,0,0,225,0,8,8,13,0.2854349951124145,all_targets_inspected,497,497,0,260.9298872150629,497,1,1,hierarchical_task_allocation,rule
0.7575,1.0,1.0,1,541,113.39999999999766,72.95000000000154,56.82500000000185,55.90000000000181,0,0,246,0,8,8,13,0.2532347504621072,all_targets_inspected,271,271,0,310.0264578955434,271,1,2,hierarchical_task_allocation,rule
0.886875,1.0,1.0,1,648,133.14999999999677,67.60000000000184,49.62500000000176,42.550000000001724,0,0,260,0,8,8,15,0.2700617283950617,all_targets_inspected,351,351,0,305.43822163803395,351,1,3,hierarchical_task_allocation,rule
0.715,1.0,1.0,1,500,121.54999999999706,75.00000000000142,51.72500000000184,49.80000000000181,0,3,78,0,8,8,14,0.23733333333333334,all_targets_inspected,62,62,0,445.77341173829956,62,1,4,hierarchical_task_allocation,rule
0.918125,1.0,1.0,1,784,160.94999999999686,60.80000000000223,39.125000000001464,37.150000000001455,0,0,425,0,8,8,19,0.3754251700680272,all_targets_inspected,443,443,0,372.7236029214886,443,1,5,hierarchical_task_allocation,rule
0.916875,1.0,1.0,1,686,161.3499999999965,65.70000000000195,36.4750000000016,31.10000000000155,0,0,267,0,8,8,14,0.28717201166180756,all_targets_inspected,139,139,0,464.03361346073166,139,1,6,hierarchical_task_allocation,rule
0.915625,1.0,1.0,1,672,159.24999999999665,66.40000000000191,37.17500000000157,32.20000000000157,0,0,235,0,8,8,9,0.27331349206349204,all_targets_inspected,140,140,0,458.0873736844193,140,1,7,hierarchical_task_allocation,rule
0.909375,1.0,1.0,1,662,153.04999999999703,66.90000000000188,40.02500000000167,34.700000000001616,0,0,283,0,8,8,14,0.2673716012084592,all_targets_inspected,162,162,0,281.1850478002145,162,1,8,hierarchical_task_allocation,rule
0.92,1.0,1.0,1,722,162.9999999999966,63.90000000000205,36.550000000001596,33.20000000000156,0,0,314,0,8,8,12,0.3204062788550323,all_targets_inspected,215,215,0,387.72188564979865,215,1,9,hierarchical_task_allocation,rule
